ID AVG WORKFLOW PLATFORM PIPELINE CORES FILES DATA_MB LATENCY BANDWITH SIMULATION_S MEASURED_MKSP_S ERR_MKSP MEASURED_WALLTIME_S ERR_WALLTIME
28183923 6 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 114.81 113.32 0.01315 124.521 0.0779837
28183923 7 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 114.348 112.693 0.0146817 135.552 0.156427
28183923 8 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 114.509 114.539 0.000261697 124.406 0.0795536
28183923 9 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 115.879 115.88 2.72901e-06 141.952 0.183675
28183923 10 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 114.642 113.838 0.00706277 129.699 0.116096
28183923 11 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 117.451 118.468 0.00858038 134.554 0.127108
28183923 12 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 126.767 138.902 0.087363 157.205 0.193616
28183923 13 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 123.9 131.861 0.0603766 162.005 0.235208
28183923 14 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 116.735 121.112 0.0361396 139.611 0.16386
28183923 15 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 114.77 114.63 0.00121613 125.953 0.0887916
28183941 1 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 137.813 148.648 0.0728897 173.349 0.204994
28183941 2 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 133.971 144.326 0.0717468 162.314 0.174619
28183941 3 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 131.915 141.395 0.0670435 156.389 0.156494
28183941 4 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 133.511 141.957 0.0594964 181.798 0.265607
28183941 5 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 144.414 159.661 0.095499 171.487 0.157876
28183941 6 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 136.873 147.563 0.0724445 184.092 0.256497
28183941 7 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 150.277 169.225 0.111966 187.94 0.200397
28183941 8 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 301.623 399.363 0.244739 408.517 0.261663
28183941 9 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 165.156 192.75 0.143161 203.248 0.187418
28183941 10 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 146.83 161.997 0.0936275 201.096 0.26985
28183941 11 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 142.046 158.205 0.102144 166.624 0.147507
28183941 12 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 139.302 151.601 0.0811295 163.339 0.147163
28183941 13 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 132.053 140.857 0.0625012 170.58 0.225859
28183941 14 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 131.669 138.982 0.0526225 188.494 0.30147
28183941 15 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 134.529 145.734 0.0768909 167.776 0.198164
28183969 1 swarp-0.dax cori.xml 1 1 20 480.322 0.117647 2.32143 125.945 129.902 0.0304579 141.266 0.108452
28183969 2 swarp-0.dax cori.xml 1 1 20 480.322 0.117647 2.32143 126.836 132.671 0.043977 155.667 0.185207
28183969 3 swarp-0.dax cori.xml 1 1 20 480.322 0.117647 2.32143 128.44 132.834 0.0330804 191.64 0.329786
